DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_106,http://dbpedia.org/resource/Bon_App%C3%A9tit_Management_Company,,,"Fedele Bauccio, CEO;;Michael Bauccio, COO",,,,,
DBpedia_Company_107,http://dbpedia.org/resource/Royal_Cable,,,,1994,,,,
DBpedia_Company_108,http://dbpedia.org/resource/SKOB,,,,,,,,
DBpedia_Company_109,http://dbpedia.org/resource/Airports_Authority_of_India,,,"Anuj Aggarwal, Member;;G.K.Chaukiyal, Member;;R. K. Srivastava, IAS, Chairman;;S.Raheja, Member;;S.Suresh, Member;;V.Somasundaram, Member",1995,http://dbpedia.org/resource/Aviation,,22000,
DBpedia_Company_110,http://dbpedia.org/resource/Mendix,,,"Derek Roos, CEO;;Johan den Haan, CTO;;Marcel Karssen, CFO",2005,http://dbpedia.org/resource/Agile_software_development;;http://dbpedia.org/resource/Cloud_computing;;http://dbpedia.org/resource/Enterprise_software;;http://dbpedia.org/resource/Platform_as_a_service,,150,
DBpedia_Company_111,http://dbpedia.org/resource/International_Speedway_Corporation,,,,1953,http://dbpedia.org/resource/Auto_racing,6.34E+08,1000,
DBpedia_Company_112,http://dbpedia.org/resource/CliftonLarsonAllen,,,"Gordy Viere, CEO",1953;;1960;;2012,http://dbpedia.org/resource/Professional_services,5.50E+08,3600,
DBpedia_Company_113,http://dbpedia.org/resource/Epirotiki_Line,http://dbpedia.org/resource/Piraeus,Greece,,1850,,,,
DBpedia_Company_114,http://dbpedia.org/resource/Frosty_Boy,,,,,,,,
DBpedia_Company_115,http://dbpedia.org/resource/Heiwa_Corporation,"Kiryū, Gunma;;Tait_, Tokyo",http://dbpedia.org/resource/Japan,,1949;;1960,http://dbpedia.org/resource/Casino,1.68E+09,821,
DBpedia_Company_116,http://dbpedia.org/resource/UL_(safety_organization),,,Keith Williams,1894,,,12000,
DBpedia_Company_117,http://dbpedia.org/resource/Metro_AG,http://dbpedia.org/resource/D%C3%BCsseldorf,http://dbpedia.org/resource/Germany,"Olaf Koch 
    Franz Haniel",1964;;1996,http://dbpedia.org/resource/Retail,6.67E+10,244601,3.48E+10
DBpedia_Company_118,http://dbpedia.org/resource/Estes_Industries,,,,1958,,,,
DBpedia_Company_119,http://dbpedia.org/resource/Josie_Records,,,,,,,,
DBpedia_Company_120,http://dbpedia.org/resource/Kantar_Worldpanel,,,"Josep Monserrat, Tim Kidd, Pascal Avignon, Luis Simoes, Sonia Bueno, Marcy Kou, Paul Tong, Andrew Fowler, Ian Dunkley",1997,http://dbpedia.org/resource/Market_research,,,
DBpedia_Company_121,http://dbpedia.org/resource/British_Continental_Airways,,,,,http://dbpedia.org/resource/Aviation,,,
DBpedia_Company_122,http://dbpedia.org/resource/Risk_Records,,,,,,,,
DBpedia_Company_123,http://dbpedia.org/resource/SPX_Corporation,"http://dbpedia.org/resource/Charlotte,_North_Carolina",http://dbpedia.org/resource/United_States,,1912,http://dbpedia.org/resource/Conglomerate_(company),,14000,
DBpedia_Company_124,http://dbpedia.org/resource/InVogue_Records,,,,2009,,,,
DBpedia_Company_125,http://dbpedia.org/resource/Heidelberger_Druckmaschinen,,,"Dr. Gerold Linzbach , Robert J. Koehler",1850,http://dbpedia.org/resource/Engineering;;http://dbpedia.org/resource/Manufacturing,2.63E+09,15830,2.64E+09
DBpedia_Company_126,http://dbpedia.org/resource/Becton_Dickinson,"http://dbpedia.org/resource/Becton,_Dickinson_and_Company_headquarters;;http://dbpedia.org/resource/Franklin_Lakes,_New_Jersey",U.S.,Chris Reidy;;Vincent Forlenza;;William A. Kozy,1897,http://dbpedia.org/resource/Medical_equipment,7.71E+09,29600,1.14E+10
